timestamp,frame_num,action,reasoning,detected_objects
1775716554.6744642,69,STOP,Critical: Dynamic 'person' close (1.15m),person(dynamic_obstacles | d:1.15m | r:2.41)
1775716555.4607475,70,STOP,Critical: Dynamic 'person' close (1.18m),person(dynamic_obstacles | d:1.18m | r:2.35)
1775716555.961482,71,STOP,Critical: Dynamic 'person' close (1.10m),person(dynamic_obstacles | d:1.10m | r:2.50)
1775716556.5052357,72,STOP,Critical: Dynamic 'person' close (1.11m),person(dynamic_obstacles | d:1.11m | r:2.48)
1775716556.9928336,73,STOP,Critical: Dynamic 'person' close (1.10m),person(dynamic_obstacles | d:1.10m | r:2.50)
1775716557.5407484,74,STOP,Critical: Dynamic 'person' close (1.15m),person(dynamic_obstacles | d:1.15m | r:2.40)
1775716558.1001015,75,STOP,Critical: Dynamic 'person' close (1.14m),person(dynamic_obstacles | d:1.14m | r:2.43)
1775716558.6802223,76,STOP,Critical: Dynamic 'person' close (1.07m),person(dynamic_obstacles | d:1.07m | r:2.56)
1775716559.141412,77,STOP,Critical: Dynamic 'person' close (1.09m),person(dynamic_obstacles | d:1.09m | r:2.53)
1775716559.593441,78,STOP,Critical: Dynamic 'person' close (1.30m),person(dynamic_obstacles | d:1.30m | r:2.15)
1775716560.0600865,79,STOP,Critical: Dynamic 'person' close (1.37m),person(dynamic_obstacles | d:1.37m | r:2.05); refrigerator(unknown | d:6.22m | r:0.08)
1775716560.5210524,80,STOP,Critical: Dynamic 'person' close (1.34m),person(dynamic_obstacles | d:1.34m | r:2.08)
1775716561.044897,81,STOP,Critical: Dynamic 'person' close (1.43m),person(dynamic_obstacles | d:1.43m | r:1.96)
1775716561.5623193,82,STOP,Critical: Dynamic 'person' close (1.40m),person(dynamic_obstacles | d:1.40m | r:2.00)
1775716562.01945,83,STOP,Critical: Dynamic 'person' close (1.48m),person(dynamic_obstacles | d:1.48m | r:1.90)
1775716562.4725533,84,STOP,Critical: Dynamic 'person' close (1.50m),person(dynamic_obstacles | d:1.50m | r:1.88)
1775716563.1606827,85,STOP,Critical: Dynamic 'person' close (1.48m),person(dynamic_obstacles | d:1.48m | r:1.90)
1775716563.661801,86,STOP,Critical: Dynamic 'person' close (1.40m),person(dynamic_obstacles | d:1.40m | r:2.00)
1775716564.313189,87,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.45)
1775716564.7930145,88,STOP,Critical: Dynamic 'person' close (1.32m),person(dynamic_obstacles | d:1.32m | r:2.11)
1775716565.271769,89,STOP,Critical: Dynamic 'person' close (1.23m),person(dynamic_obstacles | d:1.23m | r:2.26)
1775716565.8233466,90,STOP,Critical: Dynamic 'person' close (1.27m),person(dynamic_obstacles | d:1.27m | r:2.19)
1775716566.282115,91,STOP,Critical: Dynamic 'person' close (1.07m),person(dynamic_obstacles | d:1.07m | r:2.56); tv(unknown | d:3.38m | r:0.14)
1775716566.7524638,92,STOP,Critical: Dynamic 'person' close (1.07m),person(dynamic_obstacles | d:1.07m | r:2.55); tv(unknown | d:4.14m | r:0.12)
1775716567.2045696,93,STOP,Critical: Dynamic 'person' close (1.14m),person(dynamic_obstacles | d:1.14m | r:2.41); tv(unknown | d:3.57m | r:0.14)
1775716567.674492,94,STOP,Critical: Dynamic 'person' close (1.09m),person(dynamic_obstacles | d:1.09m | r:2.52)
1775716568.207963,95,STOP,Critical: Dynamic 'person' close (1.21m),person(dynamic_obstacles | d:1.21m | r:2.29)
1775716568.6597536,96,STOP,Critical: Dynamic 'person' close (1.15m),person(dynamic_obstacles | d:1.15m | r:2.40)
1775716569.121494,97,STOP,Critical: Dynamic 'person' close (1.40m),person(dynamic_obstacles | d:1.40m | r:2.00)
1775716569.569914,98,STOP,Critical: Dynamic 'person' close (1.41m),person(dynamic_obstacles | d:1.41m | r:1.99)
1775716570.093485,99,STOP,Critical: Dynamic 'person' close (1.79m),person(dynamic_obstacles | d:1.79m | r:1.59)
1775716570.549745,100,STOP,Critical: Dynamic 'person' close (1.68m),person(dynamic_obstacles | d:1.68m | r:1.69)
1775716571.0038946,101,STOP,Critical: Dynamic 'person' close (1.53m),person(dynamic_obstacles | d:1.53m | r:1.84)
1775716571.4491837,102,STOP,Critical: Dynamic 'person' close (1.64m),person(dynamic_obstacles | d:1.64m | r:1.73)
1775716571.8963063,103,STOP,Critical: Dynamic 'person' close (1.90m),person(dynamic_obstacles | d:1.90m | r:1.50)
1775716572.4063501,104,STOP,Critical: Dynamic 'person' close (1.44m),person(dynamic_obstacles | d:1.44m | r:1.94); tv(unknown | d:1.89m | r:0.25)
1775716572.939103,105,STOP,Critical: Dynamic 'person' close (1.50m),person(dynamic_obstacles | d:1.50m | r:1.88); tv(unknown | d:1.49m | r:0.32)
1775716573.3797925,106,STOP,Critical: Dynamic 'person' close (1.57m),person(dynamic_obstacles | d:1.57m | r:1.80); tv(unknown | d:1.37m | r:0.34)
1775716573.8755503,107,STOP,Critical: Dynamic 'person' close (1.79m),person(dynamic_obstacles | d:1.79m | r:1.58); tv(unknown | d:1.45m | r:0.32)
1775716574.3278596,108,STOP,Critical: Dynamic 'person' close (1.58m),person(dynamic_obstacles | d:1.58m | r:1.79); tv(unknown | d:1.35m | r:0.35)
1775716574.8780432,109,STOP,Critical: Dynamic 'person' close (1.83m),person(dynamic_obstacles | d:1.83m | r:1.55); tv(unknown | d:1.48m | r:0.32)
1775716575.3321228,110,STOP,Critical: Dynamic 'person' close (1.71m),person(dynamic_obstacles | d:1.71m | r:1.66); tv(unknown | d:1.51m | r:0.31)
1775716575.7870128,111,STOP,Critical: Dynamic 'person' close (1.67m),person(dynamic_obstacles | d:1.67m | r:1.69); tv(unknown | d:1.46m | r:0.32)
